STJ;BFS-Nr.;Gde Name;Anlage Gde NP;Anlage Gde JP;LSt;Mischsatz JP;reformiert;römisch-katholisch;christ-katholisch;gültig von;gültig bis;provisorisch/ definitiv;KG_Bezeichnung;Verwaltungskreis/ Amtsbezirk
2025;609;Häutligen;1.45;1.45;1.5;0.2059;0.207;0.19;0.276;01.01.2025;31.12.9999;definitiv;KG Münsingen;Bern-Mittelland
2025;610;Herbligen;1.9;1.9;1.2;0.1845;0.184;0.19;0.23;01.01.2025;31.12.9999;definitiv;KG Münsingen;Bern-Mittelland
2025;611;Kiesen;1.54;1.54;1;0.1836;0.184;0.18;0.23;01.01.2025;31.12.9999;definitiv;KG Münsingen;Bern-Mittelland
2025;612;Konolfingen;1.59;1.59;1.5;0.2047;0.207;0.19;0.276;01.01.2025;31.12.9999;definitiv;KG Münsingen;Bern-Mittelland
2025;613;Landiswil;1.85;1.85;1.3;0.229;0.23;0.19;0.276;01.01.2025;31.12.9999;definitiv;KG Münsingen;Bern-Mittelland
2025;614;Linden;1.8;1.8;1.2;0.2667;0.27;0.19;0.23;01.01.2025;31.12.9999;definitiv;KG Münsingen;Bern-Mittelland
2025;615;Mirchel;1.79;1.79;1.2;0.2061;0.207;0.19;0.276;01.01.2025;31.12.9999;definitiv;KG Münsingen;Bern-Mittelland
2025;616;Münsingen;1.58;1.58;1;0.1834;0.184;0.18;0.276;01.01.2025;31.12.9999;definitiv;KG Münsingen;Bern-Mittelland
2025;617;Niederhünigen;1.7;1.7;1.2;0.2058;0.207;0.19;0.276;01.01.2025;31.12.9999;definitiv;KG Münsingen;Bern-Mittelland
2025;619;Oberdiessbach;1.64;1.64;1.1;0.1846;0.184;0.19;0.23;01.01.2025;31.12.9999;definitiv;KG Münsingen;Bern-Mittelland
2025;620;Oberthal;1.87;1.87;1.2;0.2065;0.207;0.19;0.276;01.01.2025;31.12.9999;definitiv;KG Münsingen;Bern-Mittelland
2025;622;Oppligen;1.5;1.5;1.2;0.1844;0.184;0.19;0.23;01.01.2025;31.12.9999;definitiv;KG Münsingen;Bern-Mittelland
2025;623;Rubigen;1.44;1.44;1;0.1837;0.184;0.18;0.276;01.01.2025;31.12.9999;definitiv;KG Münsingen;Bern-Mittelland
2025;626;Walkringen;1.87;1.87;1.1;0.2691;0.276;0.19;0.276;01.01.2025;31.12.9999;definitiv;KG Münsingen;Bern-Mittelland
2025;627;Worb;1.7;1.7;1.3;0.2214;0.23;0.19;0.276;01.01.2025;31.12.9999;definitiv;KG Münsingen;Bern-Mittelland
2025;628;Zäziwil;1.89;1.89;1.3;0.2054;0.207;0.19;0.276;01.01.2025;31.12.9999;definitiv;KG Münsingen;Bern-Mittelland
2025;629;Oberhünigen;1.88;1.88;1.3;0.268;0.27;0.19;0.276;01.01.2025;31.12.9999;definitiv;KG Münsingen;Bern-Mittelland
2025;630;Allmendingen b. Bern;1.25;1.25;1;0.1833;0.184;0.18;0.276;01.01.2025;31.12.9999;definitiv;KG Muri;Bern-Mittelland
2025;632;Wichtrach;1.64;1.64;1;0.1835;0.184;0.18;0.23;01.01.2025;31.12.9999;definitiv;KG Münsingen;Bern-Mittelland
2025;662;Ferenbalm;1.75;1.75;1;0.1859;0.184;0.19;0.276;01.01.2025;31.12.9999;definitiv;KG Köniz;Bern-Mittelland
2025;663;Frauenkappelen;1.6;1.6;1.2;0.1819;0.18;0.19;0.276;01.01.2025;31.12.9999;definitiv;KG Wohlen;Bern-Mittelland
2025;665;Gurbrü;1.9;1.9;1.4;0.2106;0.2185;0.19;0.276;01.01.2025;31.12.9999;definitiv;KG Köniz;Bern-Mittelland
2025;666;Kriechenwil;1.79;1.79;1.2;0.19;0.19;0.19;0.276;01.01.2025;31.12.9999;definitiv;KG Köniz;Bern-Mittelland
2025;667;Laupen;1.74;1.74;1.5;0.1905;0.19;0.19;0.276;01.01.2025;31.12.9999;definitiv;KG Wohlen;Bern-Mittelland
2025;668;Mühleberg;1.4;1.4;1.5;0.1902;0.19;0.19;0.276;01.01.2025;31.12.9999;definitiv;KG Wohlen;Bern-Mittelland
2025;669;Münchenwiler;1.5;1.5;1;0.2024;0.207;0.19;0.276;01.01.2025;31.12.9999;definitiv;KG Köniz;Bern-Mittelland
2025;670;Neuenegg;1.49;1.49;1;0.1768;0.1725;0.19;0.276;01.01.2025;31.12.9999;definitiv;KG Köniz;Bern-Mittelland
2025;671;Wileroltigen;1.6;1.6;1.2;0.2155;0.2185;0.19;0.276;01.01.2025;31.12.9999;definitiv;KG Köniz;Bern-Mittelland
2025;681;Belprahon;1.93;1.93;1;0.2169;0.23;0.207;0.306;01.01.2025;31.12.9999;definitiv;KG Court;Berner Jura
2025;683;Champoz;1.7;1.7;1;0.23;0.23;0.23;0.306;01.01.2025;31.12.9999;definitiv;KG Court;Berner Jura
2025;687;Corcelles;1.94;1.94;1.5;0.2368;0.25;0.207;0.306;01.01.2025;31.12.9999;definitiv;KG Court;Berner Jura
