Steuerbares Einkommen;Einheitssteuersatz %
85700;3.671
85800;3.6724
85900;3.6737
86000;3.6751
86100;3.6765
86200;3.6778
86300;3.6792
86400;3.6806
86500;3.6819
86600;3.6833
86700;3.6846
86800;3.6859
86900;3.6873
87000;3.6886
87100;3.69
87200;3.6913
87300;3.6926
87400;3.6939
87500;3.6953
87600;3.6966
87700;3.6979
87800;3.6992
87900;3.7005
88000;3.7018
88100;3.7031
88200;3.7044
88300;3.7057
88400;3.707
88500;3.7083
88600;3.7096
88700;3.7109
88800;3.7122
88900;3.7134
89000;3.7147
89100;3.716
89200;3.7173
89300;3.7185
89400;3.7198
89500;3.7211
89600;3.7223
89700;3.7236
89800;3.7248
89900;3.7261
90000;3.7273
90100;3.7286
90200;3.7298
90300;3.7311
90400;3.7323
90500;3.7335
90600;3.7348
90700;3.736
90800;3.7372
90900;3.7384
91000;3.7397
91100;3.7409
91200;3.7421
91300;3.7433
91400;3.7445
91500;3.7457
91600;3.7469
91700;3.7481
91800;3.7493
91900;3.7505
92000;3.7517
92100;3.7529
92200;3.7541
92300;3.7553
92400;3.7565
92500;3.7577
92600;3.7589
92700;3.76
92800;3.7612
92900;3.7624
93000;3.7635
93100;3.7647
93200;3.7659
93300;3.767
93400;3.7682
93500;3.7694
93600;3.7705
93700;3.7717
93800;3.7728
93900;3.774
94000;3.7751
94100;3.7762
94200;3.7774
94300;3.7785
94400;3.7797
94500;3.7808
94600;3.7819
94700;3.7831
94800;3.7842
94900;3.7853
95000;3.7864
95100;3.7875
95200;3.7887
95300;3.7898
95400;3.7909
95500;3.792
95600;3.7931
95700;3.7942
95800;3.7953
95900;3.7964
96000;3.7975
96100;3.7986
96200;3.7997
96300;3.8008
96400;3.8019
96500;3.803
96600;3.804
96700;3.8051
96800;3.8062
96900;3.8073
97000;3.8084
97100;3.8094
97200;3.8105
97300;3.8116
97400;3.8126
97500;3.8137
97600;3.8148
97700;3.8158
97800;3.8169
97900;3.8179
98000;3.819
98100;3.82
98200;3.8211
98300;3.8221
98400;3.8232
98500;3.8242
98600;3.8253
98700;3.8263
98800;3.8273
98900;3.8284
99000;3.8294
99100;3.8304
99200;3.8315
99300;3.8325
99400;3.8335
99500;3.8345
99600;3.8355
99700;3.8366
99800;3.8376
99900;3.8386
100000;3.8396
100100;3.8406
100200;3.8416
100300;3.8426
100400;3.8436
100500;3.8446
100600;3.8456
100700;3.8466
100800;3.8476
100900;3.8486
101000;3.8496
101100;3.8506
101200;3.8516
101300;3.8526
101400;3.8536
101500;3.8545
101600;3.8555
101700;3.8565
101800;3.8575
101900;3.8584
102000;3.8594
102100;3.8604
102200;3.8614
102300;3.8623
102400;3.8633
102500;3.8642
102600;3.8652
102700;3.8662
102800;3.8671
102900;3.8681
103000;3.869
103100;3.87
103200;3.8709
103300;3.8719
103400;3.8728
103500;3.8738
103600;3.8747
103700;3.8757
103800;3.8766
103900;3.8775
104000;3.8785
104100;3.8794
104200;3.8803
104300;3.8813
