Steuerbares Einkommen;Einheitssteuersatz %
62600;4.0764
62700;4.0779
62800;4.0794
62900;4.0808
63000;4.0823
63100;4.0838
63200;4.0852
63300;4.0867
63400;4.0881
63500;4.0895
63600;4.091
63700;4.0924
63800;4.0938
63900;4.0952
64000;4.0966
64100;4.098
64200;4.0995
64300;4.1009
64400;4.1023
64500;4.1036
64600;4.105
64700;4.1064
64800;4.1078
64900;4.1092
65000;4.1105
65100;4.1119
65200;4.1133
65300;4.1146
65400;4.116
65500;4.1173
65600;4.1187
65700;4.12
65800;4.1214
65900;4.1227
66000;4.124
66100;4.1253
66200;4.1267
66300;4.128
66400;4.1293
66500;4.1306
66600;4.1319
66700;4.1332
66800;4.1345
66900;4.1358
67000;4.1371
67100;4.1384
67200;4.1397
67300;4.1409
67400;4.1422
67500;4.1435
67600;4.1447
67700;4.146
67800;4.1473
67900;4.1485
68000;4.1498
68100;4.151
68200;4.1523
68300;4.1535
68400;4.1548
68500;4.156
68600;4.1572
68700;4.1584
68800;4.1597
68900;4.1609
69000;4.1621
69100;4.1633
69200;4.1645
69300;4.1657
69400;4.1669
69500;4.1681
69600;4.1693
69700;4.1705
69800;4.1717
69900;4.1729
70000;4.1741
70100;4.1752
70200;4.1764
70300;4.1776
70400;4.1788
70500;4.1799
70600;4.1811
70700;4.1822
70800;4.1834
70900;4.1846
71000;4.1857
71100;4.1868
71200;4.188
71300;4.1891
71400;4.1903
71500;4.1914
71600;4.1925
71700;4.1937
71800;4.1948
71900;4.1959
72000;4.197
72100;4.1981
72200;4.1992
72300;4.2003
72400;4.2015
72500;4.2026
72600;4.2037
72700;4.2047
72800;4.2058
72900;4.2069
73000;4.208
73100;4.2091
73200;4.2102
73300;4.2113
73400;4.2123
73500;4.2134
73600;4.2145
73700;4.2155
73800;4.2166
73900;4.2177
74000;4.2187
74100;4.2198
74200;4.2208
74300;4.2219
74400;4.2229
74500;4.224
74600;4.225
74700;4.226
74800;4.2271
74900;4.2281
75000;4.2291
75100;4.2302
75200;4.2312
75300;4.2322
75400;4.2332
75500;4.2342
75600;4.2353
75700;4.2363
75800;4.2373
75900;4.2383
76000;4.2393
76100;4.2403
76200;4.2413
76300;4.2423
76400;4.2433
76500;4.2442
76600;4.2452
76700;4.2462
76800;4.2472
76900;4.2482
77000;4.2492
77100;4.2501
77200;4.2511
77300;4.2521
77400;4.253
77500;4.254
77600;4.255
77700;4.2559
77800;4.2569
77900;4.2578
78000;4.2588
78100;4.2597
78200;4.2607
78300;4.2616
78400;4.2626
78500;4.2635
78600;4.2644
78700;4.2654
78800;4.2663
78900;4.2672
79000;4.2682
79100;4.2691
79200;4.27
79300;4.2709
79400;4.2719
79500;4.2728
79600;4.2737
79700;4.2746
79800;4.2755
79900;4.2764
80000;4.2773
80100;4.2782
80200;4.2791
80300;4.28
80400;4.2809
80500;4.2818
80600;4.2827
80700;4.2836
80800;4.2845
80900;4.2854
81000;4.2862
81100;4.2871
81200;4.288
81300;4.2889
81400;4.2897
81500;4.2906
81600;4.2915
81700;4.2924
81800;4.2932
81900;4.2941
82000;4.2949
82100;4.2958
82200;4.2967
82300;4.2975
82400;4.2984
82500;4.2992
82600;4.3001
82700;4.3009
82800;4.3018
82900;4.3026
83000;4.3034
83100;4.3043
83200;4.3051
83300;4.3059
83400;4.3068
83500;4.3076
83600;4.3084
83700;4.3093
83800;4.3101
83900;4.3109
84000;4.3117
84100;4.3125
84200;4.3134
84300;4.3142
84400;4.315
84500;4.3165
84600;4.318
84700;4.3195
84800;4.321
84900;4.3226
85000;4.3241
85100;4.3256
85200;4.3271
85300;4.3285
85400;4.33
85500;4.3315
85600;4.333
85700;4.3345
85800;4.336
85900;4.3374
86000;4.3389
86100;4.3404
86200;4.3418
86300;4.3433
86400;4.3447
86500;4.3462
86600;4.3476
86700;4.3491
86800;4.3505
86900;4.352
87000;4.3534
87100;4.3548
87200;4.3563
87300;4.3577
87400;4.3591
87500;4.3605
87600;4.3619
87700;4.3633
87800;4.3647
87900;4.3662
88000;4.3676
88100;4.369
88200;4.3704
88300;4.3717
88400;4.3731
88500;4.3745
88600;4.3759
88700;4.3773
88800;4.3787
88900;4.38
89000;4.3814
89100;4.3828
89200;4.3841
89300;4.3855
89400;4.3869
89500;4.3882
89600;4.3896
89700;4.3909
89800;4.3923
89900;4.3936
90000;4.3949
90100;4.3963
90200;4.3976
90300;4.3989
90400;4.4003
90500;4.4016
